REF_DATE,GEO,DGUID,Census family structure (7),Family size of census family (4),Ages of census family members (18),Number of earners in the census family (5),Census family after-tax income groups (21),Year (2),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,104.1.3.9.1.17.1,11190,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,104.1.3.9.1.18.1,5730,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,104.1.3.9.1.19.1,2925,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,104.1.3.9.1.20.1,2530,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,104.1.3.9.1.21.1,73500,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,104.1.4.7.1.1.1,106630,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,104.1.4.7.1.2.1,765,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,104.1.4.7.1.3.1,245,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,104.1.4.7.1.4.1,290,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,104.1.4.7.1.5.1,475,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,104.1.4.7.1.6.1,620,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,104.1.4.7.1.7.1,745,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,104.1.4.7.1.8.1,1075,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,104.1.4.7.1.9.1,1460,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,104.1.4.7.1.10.1,1965,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,104.1.4.7.1.11.1,2345,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,104.1.4.7.1.12.1,6150,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,104.1.4.7.1.13.1,7825,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,104.1.4.7.1.14.1,9120,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,104.1.4.7.1.15.1,9825,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,104.1.4.7.1.16.1,9280,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,104.1.4.7.1.17.1,54440,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,104.1.4.7.1.18.1,20020,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,104.1.4.7.1.19.1,14450,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,104.1.4.7.1.20.1,19975,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,104.1.4.7.1.21.1,101000,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,104.1.4.8.1.1.1,15555,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,104.1.4.8.1.2.1,35,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,104.1.4.8.1.3.1,10,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,104.1.4.8.1.4.1,15,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,104.1.4.8.1.5.1,10,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,104.1.4.8.1.6.1,15,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,104.1.4.8.1.7.1,30,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,104.1.4.8.1.8.1,30,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,104.1.4.8.1.9.1,45,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,104.1.4.8.1.10.1,45,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,104.1.4.8.1.11.1,70,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,104.1.4.8.1.12.1,170,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,104.1.4.8.1.13.1,305,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,104.1.4.8.1.14.1,460,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,104.1.4.8.1.15.1,625,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,104.1.4.8.1.16.1,810,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,104.1.4.8.1.17.1,12885,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,104.1.4.8.1.18.1,2865,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,104.1.4.8.1.19.1,3075,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,104.1.4.8.1.20.1,6945,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,104.1.4.8.1.21.1,143000,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,104.1.4.9.1.1.1,91080,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,104.1.4.9.1.2.1,725,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,104.1.4.9.1.3.1,240,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,104.1.4.9.1.4.1,280,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,104.1.4.9.1.5.1,465,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,104.1.4.9.1.6.1,605,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,104.1.4.9.1.7.1,715,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,104.1.4.9.1.8.1,1045,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,104.1.4.9.1.9.1,1420,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,104.1.4.9.1.10.1,1915,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,104.1.4.9.1.11.1,2270,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,104.1.4.9.1.12.1,5980,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,104.1.4.9.1.13.1,7520,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,104.1.4.9.1.14.1,8660,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,104.1.4.9.1.15.1,9205,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,104.1.4.9.1.16.1,8470,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,104.1.4.9.1.17.1,41555,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,104.1.4.9.1.18.1,17155,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,104.1.4.9.1.19.1,11375,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,104.1.4.9.1.20.1,13030,,,,0
